Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1645.0438421070846,OUT049
FDW14,1363.7369270644876,OUT017
NCN55,574.7847518924148,OUT010
FDQ58,2469.347150081287,OUT017
FDY38,5836.084461097368,OUT027
FDH56,1939.6741467062363,OUT046
FDL48,772.6905217722335,OUT018
FDC48,2080.9957965077515,OUT027
FDN33,1526.4823849865695,OUT045
FDA36,3105.4953538611385,OUT017
FDT44,1933.3185684714308,OUT017
FDQ56,1364.3076278608714,OUT045
NCC54,574.7386927192067,OUT019
FDU11,2013.332364060466,OUT049
DRL59,879.4283977277738,OUT013
FDM24,2460.8683831051735,OUT049
FDI57,3045.711078261391,OUT045
DRC12,2960.018205180301,OUT018
NCM42,2917.776302617365,OUT027
FDA46,502.5740683513006,OUT010
FDA31,2854.624646431584,OUT013
NCJ31,3866.589415399924,OUT035
FDG52,790.5908654804703,OUT046
NCL19,288.7183317880893,OUT019
FDS10,2997.0208001748456,OUT035
FDX22,567.8834336405254,OUT010
NCF19,760.1374241601543,OUT035
NCE06,2554.6986160888514,OUT046
DRC27,3892.759118857974,OUT046
FDE21,1974.1053689001717,OUT035
NCR42,131.5131704939909,OUT019
FDX51,2985.880879861898,OUT018
NCR06,615.679116720298,OUT018
FDU31,5836.740762601732,OUT027
FDU59,2551.7464170748376,OUT017
FDR03,5836.926261491623,OUT027
FDS49,2012.4493629853307,OUT027
FDD48,268.73601791086116,OUT010
NCF18,3033.324656693614,OUT017
NCD43,2868.7534861939976,OUT027
NCD54,2125.819764188973,OUT018
FDY19,268.85213325672,OUT010
NCY54,2868.2209705787272,OUT017
NCL19,2427.947044740442,OUT018
FDP23,572.1208670267025,OUT010
FDC26,1736.4628203244765,OUT013
FDR14,131.5131704939909,OUT010
NCS41,3121.2522875391487,OUT035
FDF41,3881.3351880671094,OUT035
FDU34,2042.2542945189007,OUT046
DRH11,960.6568174326371,OUT046
FDM03,1644.477651955876,OUT013
FDS31,3071.4055706039526,OUT017
FDJ20,1997.8452314798844,OUT017
FDV44,5148.714439230777,OUT027
FDG02,3134.614476351917,OUT049
FDA09,2995.855114599736,OUT013
FDT04,711.5394724013138,OUT013
FDL58,573.2146256795725,OUT019
FDE52,1385.4310284566764,OUT045
FDW12,2483.217782901461,OUT035
FDL51,3684.9135347268248,OUT017
NCY42,3028.729403197333,OUT027
FDR07,1545.8425498991849,OUT017
FDN40,2472.123027421711,OUT045
FDB35,2679.103642205504,OUT027
FDA22,2539.781788178133,OUT017
NCL06,4136.849529205166,OUT046
FDI35,3071.715335721487,OUT013
NCW42,3764.574156875269,OUT045
NCX06,3007.0687121944425,OUT049
FDC37,2896.281927159855,OUT027
FDZ14,1954.9751448704535,OUT018
DRG49,3852.428815561549,OUT049
NCG06,4103.920481122449,OUT045
DRC36,2872.8191864899172,OUT045
FDV21,280.10997193186336,OUT019
FDB53,2505.47693781529,OUT046
DRP47,572.7151317435067,OUT019
FDA14,2452.393801540773,OUT013
DRC24,2530.054589792446,OUT035
FDW21,1608.839608106143,OUT018
NCH29,1549.1122981940168,OUT046
FDU58,3112.266122836277,OUT013
FDY27,2888.3359755486704,OUT017
FDV56,1657.044356223093,OUT035
FDT59,3815.5390963778605,OUT046
FDB23,3772.078405955361,OUT046
FDR49,757.1043027635237,OUT045
FDB03,574.7386927192067,OUT010
