Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1587.4594371161102,OUT049
FDW14,1449.2085455887948,OUT017
NCN55,574.1231457611152,OUT010
FDQ58,2489.3046166764743,OUT017
FDY38,5864.011162910996,OUT027
FDH56,1937.0723885040827,OUT046
FDL48,731.7604183835003,OUT018
FDC48,2166.0033642145386,OUT027
FDN33,1533.233689036643,OUT045
FDA36,3056.929143920141,OUT017
FDT44,1950.3931931739512,OUT017
FDQ56,1433.2915814366602,OUT045
NCC54,574.2993808690773,OUT019
FDU11,2003.2338778943426,OUT049
DRL59,846.1467307031552,OUT013
FDM24,2486.6896783003867,OUT049
FDI57,3124.7141474316145,OUT045
DRC12,3053.1831737126463,OUT018
NCM42,2917.809627368616,OUT027
FDA46,504.59566387787726,OUT010
FDA31,2844.795209031669,OUT013
NCJ31,3900.9638419096673,OUT035
FDG52,737.7911472346397,OUT046
NCL19,288.2608200554283,OUT019
FDS10,3010.180693099726,OUT035
FDX22,566.1916623426282,OUT010
NCF19,733.3091208815791,OUT035
NCE06,2562.569760571609,OUT046
DRC27,3892.732368269761,OUT046
FDE21,1937.0723885040827,OUT035
NCR42,131.14223821024746,OUT019
FDX51,3054.86695515999,OUT018
NCR06,663.5336206728974,OUT018
FDU31,5864.011162910996,OUT027
FDU59,2568.1174378264045,OUT017
FDR03,5859.845222268177,OUT027
FDS49,2032.2439443052508,OUT027
FDD48,270.61185871893656,OUT010
NCF18,3055.2453624727973,OUT017
NCD43,2868.9974423134263,OUT027
NCD54,2156.9683092280493,OUT018
FDY19,271.0273311801112,OUT010
NCY54,2844.795209031669,OUT017
NCL19,2478.3147221551744,OUT018
FDP23,570.2130044017367,OUT010
FDC26,1722.2283150011606,OUT013
FDR14,131.14223821024746,OUT010
NCS41,3055.4159436688337,OUT035
FDF41,3902.912297028559,OUT035
FDU34,2009.0208235443952,OUT046
DRH11,952.0337855495934,OUT046
FDM03,1587.4594371161102,OUT013
FDS31,3014.5650340786146,OUT017
FDJ20,2003.2338778943426,OUT017
FDV44,5115.596639524026,OUT027
FDG02,3059.279537743302,OUT049
FDA09,2968.8755161017766,OUT013
FDT04,714.438704800065,OUT013
FDL58,571.8994459849355,OUT019
FDE52,1483.272041465055,OUT045
FDW12,2480.444396089261,OUT035
FDL51,3652.102807671875,OUT017
NCY42,3020.7892756270903,OUT027
FDR07,1533.233689036643,OUT017
FDN40,2486.6896783003867,OUT045
FDB35,2674.966874747197,OUT027
FDA22,2568.1174378264045,OUT017
NCL06,4071.7947147159716,OUT046
FDI35,3014.5650340786146,OUT013
NCW42,3760.1215635471362,OUT045
NCX06,2983.8962685315537,OUT049
FDC37,2893.8399494515593,OUT027
FDZ14,2003.2338778943426,OUT018
DRG49,3884.4765246832712,OUT049
NCG06,4045.8455187975505,OUT045
DRC36,2844.795209031669,OUT045
FDV21,280.0359078168904,OUT019
FDB53,2486.6896783003867,OUT046
DRP47,571.4401252061771,OUT019
FDA14,2483.6548159641197,OUT013
DRC24,2488.819352234473,OUT035
FDW21,1559.3377710168795,OUT018
NCH29,1533.233689036643,OUT046
FDU58,3056.929143920141,OUT013
FDY27,2878.4987657270503,OUT017
FDV56,1595.1145297102103,OUT035
FDT59,3806.2272095719077,OUT046
FDB23,3767.5371715201395,OUT046
FDR49,734.1464249774554,OUT045
FDB03,574.2993808690773,OUT010
FDN39,2566.433656379061,OUT045
FDX02,5859.845222268177,OUT027
FDQ16,2891.283856734013,OUT027
FDU35,1542.5424269572309,OUT018
NCT29,2003.2338778943426,OUT013
FDZ27,737.7911472346397,OUT046
FDN57,2027.3902997008624,OUT017
FDA03,2483.6548159641197,OUT018
FDZ36,3056.929143920141,OUT045
NCU05,1470.0951614376436,OUT013
FDT39,2486.6896783003867,OUT018
FDK60,1533.233689036643,OUT017
FDZ25,2729.8139823953506,OUT017
FDG12,2003.2338778943426,OUT046
DRB01,496.3314900371943,OUT019
NCC43,5864.011162910996,OUT027
FDX13,570.1261419362388,OUT019
FDM22,852.3374960525782,OUT049
FDJ03,1070.536385664863,OUT027
FDU14,3840.551953649774,OUT018
FDB33,380.103879456787,OUT010
FDP27,3056.929143920141,OUT046
FDO38,159.08691685530758,OUT010
FDE28,5864.011162910996,OUT027
FDO27,1533.233689036643,OUT035
DRL23,2891.283856734013,OUT027
FDS28,952.0337855495934,OUT046
FDX24,1538.7275685129748,OUT013
FDZ02,1533.233689036643,OUT035
FDL46,1937.0723885040827,OUT045
FDS60,4861.086531181401,OUT027
NCO06,663.5336206728974,OUT017
FDO16,1417.972937344066,OUT035
FDC60,1452.075686628466,OUT049
FDA48,3543.559079382741,OUT018
FDZ36,5108.332793426252,OUT027
FDK27,2000.5930636529188,OUT045
FDW23,663.5336206728974,OUT018
FDM14,1678.116626078604,OUT018
FDM14,1590.1636125782786,OUT013
FDW60,2876.4365769668993,OUT018
FDE21,1937.0723885040827,OUT013
NCM42,1600.1555301202889,OUT035
FDY59,226.66521577697375,OUT010
DRI49,1354.3062453261832,OUT049
FDT28,364.67741929955815,OUT019
FDQ22,663.5336206728974,OUT018
FDR60,1277.0185785172328,OUT049
FDC50,231.3439612179842,OUT019
FDV24,2486.6896783003867,OUT013
DRF48,491.88541992774594,OUT010
FDQ47,672.34688519454,OUT046
DRN36,1533.233689036643,OUT049
NCY06,2013.9423954665679,OUT035
FDE52,1481.6663595183197,OUT035
NCB54,2011.6171911263561,OUT045
NCF31,2488.819352234473,OUT035
FDJ08,5124.525706760749,OUT027
NCC07,1582.3085455974226,OUT017
NCD19,1258.0712503665925,OUT027
FDL46,1966.0639757192837,OUT049
FDM20,3935.4187881985504,OUT045
NCI06,443.2386023804302,OUT010
DRM11,4096.08566965478,OUT035
NCH07,2542.2738187295636,OUT018
FDS23,2022.0009442236076,OUT013
FDO49,729.7021908601081,OUT018
FDS35,1071.6803374462102,OUT049
DRK39,1387.1731589690596,OUT045
DRI39,906.3707254968072,OUT049
FDV04,2544.336007489715,OUT017
NCN14,3051.208001919036,OUT035
FDH08,3789.122313666423,OUT013
FDS20,3055.4159436688337,OUT046
FDV40,1118.480551130742,OUT049
FDZ48,261.2102702547405,OUT010
FDS24,2552.117237060879,OUT027
FDK44,2847.14560285483,OUT049
FDS48,2486.6896783003867,OUT045
FDK26,495.0151903567111,OUT010
FDD23,3056.929143920141,OUT045
NCH54,2562.569760571609,OUT017
NCP14,243.1908368807518,OUT010
FDM60,131.14223821024746,OUT010
FDV24,2486.6896783003867,OUT017
FDH08,3625.696419469389,OUT018
FDS12,2999.648256051776,OUT027
FDR39,4896.702043097997,OUT027
FDP12,1012.3144475584476,OUT027
DRF60,5864.011162910996,OUT027
FDC09,1577.285772029561,OUT035
FDF50,3056.5174888136435,OUT018
FDG28,3938.88523513922,OUT035
NCE19,903.3821605055534,OUT017
NCM53,252.12937179187836,OUT010
NCN18,1687.82929989528,OUT049
FDF32,3133.607318303859,OUT035
FDF11,3903.679749959346,OUT013
DRI59,3771.879804942285,OUT049
NCG54,2736.35335642831,OUT035
FDM44,1561.7752646084562,OUT046
FDT57,3708.5018370339117,OUT018
FDV24,2486.6896783003867,OUT046
FDI50,572.155016189003,OUT019
FDS09,750.6093028143655,OUT035
NCC31,4062.676810745086,OUT027
FDQ07,573.8407589312602,OUT019
FDC22,3056.929143920141,OUT017
FDZ56,2729.8139823953506,OUT046
FDZ40,131.14223821024746,OUT019
FDS46,2930.9611376988983,OUT027
DRD24,2038.3480431200514,OUT045
FDV45,3056.929143920141,OUT017
FDL26,2494.1146557118245,OUT045
FDA56,2006.229961195572,OUT018
FDN27,1937.0723885040827,OUT046
FDM20,3912.342261118573,OUT049
FDO16,1387.1731589690596,OUT017
FDL03,3055.2453624727973,OUT035
FDE58,1937.0723885040827,OUT046
FDI02,2930.9611376988983,OUT027
NCC55,131.14223821024746,OUT019
FDR03,3314.1651087939263,OUT018
FDB14,1513.5810449693608,OUT017
FDR45,3911.8734631509924,OUT013
NCN07,2022.0009442236076,OUT017
FDM51,247.02199721536886,OUT019
FDT52,5864.011162910996,OUT027
FDL26,2486.6896783003867,OUT046
NCZ42,3902.143935885886,OUT046
