Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1875.486042756024,OUT049
FDW14,1591.7612740786337,OUT017
NCN55,1822.672658617004,OUT010
FDQ58,2546.3629591573967,OUT017
FDY38,5087.605400109227,OUT027
FDH56,1942.6371302122484,OUT046
FDL48,680.800027244242,OUT018
FDC48,2806.0427441358884,OUT027
FDN33,1541.2477558067706,OUT045
FDA36,3051.6757355410946,OUT017
FDT44,2004.9816551032454,OUT017
FDQ56,1358.1533406290969,OUT045
NCC54,1819.7081624356438,OUT019
FDU11,2076.75019335065,OUT049
DRL59,963.7365800429787,OUT013
FDM24,2541.571606499628,OUT049
FDI57,3047.575103091968,OUT045
DRC12,2726.590331793125,OUT018
NCM42,3196.3220820943384,OUT027
FDA46,1129.0865932092906,OUT010
FDA31,2782.8531016284605,OUT013
NCJ31,3802.6708588839983,OUT035
FDG52,863.6967323629381,OUT046
NCL19,383.6749739722944,OUT019
FDS10,2986.4040703131786,OUT035
FDX22,1453.2700642602717,OUT010
NCF19,998.5313152811383,OUT035
NCE06,2519.8296088661177,OUT046
DRC27,3768.666066789684,OUT046
FDE21,2044.9750562281492,OUT035
NCR42,-1251.1341145471438,OUT019
FDX51,2840.7076836527954,OUT018
NCR06,510.7134768810505,OUT018
FDU31,4872.66161821202,OUT027
FDU59,2684.9378118546247,OUT017
FDR03,4667.8551828367545,OUT027
FDS49,2769.5521447021088,OUT027
FDD48,-11.742853337762654,OUT010
NCF18,3083.50922136491,OUT017
NCD43,3104.4140854002503,OUT027
NCD54,2007.827496987775,OUT018
FDY19,23.56811324654518,OUT010
NCY54,2783.24155896781,OUT017
NCL19,2023.521417526347,OUT018
FDP23,1509.3653428274179,OUT010
FDC26,1848.5794920752423,OUT013
FDR14,-931.0749455928542,OUT010
NCS41,2986.619667600746,OUT035
FDF41,3971.3364664503188,OUT035
FDU34,2004.5683173135985,OUT046
DRH11,984.1695289641875,OUT046
FDM03,1734.3034064058797,OUT013
FDS31,2964.893326909252,OUT017
FDJ20,2116.752967896565,OUT017
FDV44,4427.784808962078,OUT027
FDG02,3080.3282714018806,OUT049
FDA09,2877.990100455804,OUT013
FDT04,743.8136889644145,OUT013
FDL58,2224.4305199227915,OUT019
FDE52,1472.2979119940549,OUT045
FDW12,2500.327617754799,OUT035
FDL51,3499.1716317514497,OUT017
NCY42,3669.3541994592993,OUT027
FDR07,1704.386541104934,OUT017
FDN40,2341.925789890122,OUT045
FDB35,2975.9387231789156,OUT027
FDA22,2708.4019276470285,OUT017
NCL06,4020.0931885843797,OUT046
FDI35,2889.386905085806,OUT013
NCW42,3358.986753706943,OUT045
NCX06,2926.3408466167148,OUT049
FDC37,3208.3154817412383,OUT027
FDZ14,1759.3628553683407,OUT018
DRG49,3880.472044509629,OUT049
NCG06,3875.837440520003,OUT045
DRC36,2697.4303484146403,OUT045
FDV21,89.20329367236366,OUT019
FDB53,2335.2836003628104,OUT046
DRP47,1969.36004661995,OUT019
FDA14,2346.312311893471,OUT013
DRC24,2559.436840774867,OUT035
FDW21,1431.1415252561849,OUT018
NCH29,1574.1901419858752,OUT046
FDU58,3038.8499545102045,OUT013
FDY27,2888.586673528194,OUT017
FDV56,1978.6353753250953,OUT035
FDT59,3588.2190445169244,OUT046
FDB23,3557.5198981563967,OUT046
FDR49,760.3217983798735,OUT045
FDB03,1879.1002918477889,OUT010
FDN39,2601.008116477853,OUT045
FDX02,4893.539499114104,OUT027
FDQ16,3196.5764802810195,OUT027
FDU35,1349.3325726460916,OUT018
NCT29,1985.4074128544557,OUT013
FDZ27,871.1855531616709,OUT046
FDN57,2352.0259350435463,OUT017
FDA03,2095.9434563670675,OUT018
FDZ36,2892.910145545565,OUT045
NCU05,1378.534402337672,OUT013
FDT39,2199.463258352246,OUT018
FDK60,1722.709942973238,OUT017
FDZ25,2809.5987327632415,OUT017
FDG12,1996.2641667968096,OUT046
DRB01,1083.335780311957,OUT019
NCC43,5257.56157208832,OUT027
FDX13,1979.8573545982786,OUT019
FDM22,1099.9470861104885,OUT049
FDJ03,2354.422841288429,OUT027
FDU14,3604.6800005478594,OUT018
FDB33,672.5769401362718,OUT010
FDP27,2975.1934067615753,OUT046
FDO38,-582.7923496414346,OUT010
FDE28,5039.5635892100145,OUT027
FDO27,1728.284729851358,OUT035
DRL23,3168.9509894147473,OUT027
FDS28,1027.0683487085073,OUT046
FDX24,1576.8218839850065,OUT013
FDZ02,1784.0734724042343,OUT035
FDL46,1839.2554744810377,OUT045
FDS60,4250.409336238303,OUT027
NCO06,717.646590564176,OUT017
FDO16,1575.6042405473006,OUT035
FDC60,1593.7200437221386,OUT049
FDA48,3143.3858700772053,OUT018
FDZ36,4385.028482398675,OUT027
FDK27,1908.4289842610187,OUT045
FDW23,471.632553703544,OUT018
FDM14,1541.182350809011,OUT018
FDM14,1815.3528147796867,OUT013
FDW60,2582.1162522474683,OUT018
FDE21,1937.8367449367724,OUT013
NCM42,1909.6295631404055,OUT035
FDY59,-325.27664244780584,OUT010
DRI49,1411.6164616201538,OUT049
FDT28,537.2071923218451,OUT019
FDQ22,492.45161044732447,OUT018
FDR60,1379.3844046079034,OUT049
FDC50,-340.2531082544452,OUT019
FDV24,2420.1696343514564,OUT013
DRF48,1114.89364849442,OUT010
FDQ47,720.7024107545552,OUT046
DRN36,1683.4037250766817,OUT049
NCY06,2186.5456966803386,OUT035
FDE52,1667.7100348612548,OUT035
NCB54,1960.273423289844,OUT045
NCF31,2544.2467193331736,OUT035
FDJ08,4390.762654347918,OUT027
NCC07,1827.1444492907679,OUT017
NCD19,2337.084931130405,OUT027
FDL46,2028.756404633576,OUT049
FDM20,3747.487028898602,OUT045
NCI06,943.0398761002434,OUT010
DRM11,4122.364533017645,OUT035
NCH07,2216.561537605646,OUT018
FDS23,2100.7278006301867,OUT013
FDO49,669.6110700121159,OUT018
FDS35,1217.2217140612688,OUT049
DRK39,1285.972681373593,OUT045
DRI39,1099.978006582693,OUT049
FDV04,2624.8631109665657,OUT017
NCN14,2975.4833906593058,OUT035
FDH08,3643.516715415975,OUT013
FDS20,2869.6655231483446,OUT046
FDV40,1379.9784542136172,OUT049
FDZ48,-86.89226142344,OUT010
FDS24,2932.014853212058,OUT027
FDK44,2828.4979432217183,OUT049
FDS48,2339.1628031702307,OUT045
FDK26,1102.713449369889,OUT010
FDD23,2937.0715590527193,OUT045
NCH54,2634.2183373391235,OUT017
NCP14,-188.76888283441258,OUT010
FDM60,-1102.8992058263425,OUT010
FDV24,2476.4049421632094,OUT017
FDH08,3307.193971473376,OUT018
FDS12,3456.9008641950727,OUT027
FDR39,4257.419862283463,OUT027
FDP12,2172.111692841849,OUT027
DRF60,5054.8400351898,OUT027
FDC09,1883.5086627079027,OUT035
FDF50,2792.631096988241,OUT018
FDG28,3949.8115523137803,OUT035
NCE19,1057.1553589040077,OUT017
NCM53,-135.38119785417894,OUT010
NCN18,1869.172365792889,OUT049
FDF32,3238.100114202482,OUT035
FDF11,3794.36755011207,OUT013
DRI59,3568.4143166368203,OUT049
NCG54,2780.942398346409,OUT035
FDM44,1678.2034344736796,OUT046
FDT57,3413.2142606190364,OUT018
FDV24,2369.635711729048,OUT046
FDI50,1710.720450683525,OUT019
FDS09,1104.3527497603095,OUT035
NCC31,3861.4868349885724,OUT027
FDQ07,1570.356060077907,OUT019
FDC22,3127.281606461259,OUT017
FDZ56,2686.5134977821194,OUT046
FDZ40,-886.7626110244186,OUT019
FDS46,3392.078903943199,OUT027
DRD24,2178.022593193435,OUT045
FDV45,3076.1107171873223,OUT017
FDL26,2402.330000139259,OUT045
FDA56,1738.9110946749886,OUT018
FDN27,1901.2545117692057,OUT046
FDM20,3893.6092714590477,OUT049
FDO16,1507.2173898711965,OUT017
FDL03,3249.5457282308557,OUT035
FDE58,1865.6219302935867,OUT046
FDI02,3275.795627525314,OUT027
NCC55,-1192.377000544568,OUT019
FDR03,2987.901152054705,OUT018
FDB14,1662.1679460339806,OUT017
FDR45,3772.5792602048523,OUT013
NCN07,2178.6437601828297,OUT017
FDM51,-145.53768410605704,OUT019
FDT52,5264.67650172128,OUT027
FDL26,2437.1437828470116,OUT046
NCZ42,3677.86896703617,OUT046
DRI47,456.85218419769024,OUT019
FDW40,2322.447274960206,OUT013
FDN34,2710.5360779484186,OUT046
FDS01,2961.649013313179,OUT035
NCG55,1786.905871579135,OUT045
FDC11,1578.8896400684448,OUT035
FDX35,3287.552822041205,OUT018
NCB06,2504.7436220358863,OUT046
FDR09,2147.0068762252154,OUT019
FDC53,1723.1701314392992,OUT017
FDY45,3990.430446453026,OUT013
FDA22,754.86532107737,OUT010
FDE02,1702.4437496190922,OUT035
FDW21,1637.8254474510588,OUT045
FDV34,1307.5016795396905,OUT046
FDS59,1937.410753808056,OUT049
NCW17,2147.712294950032,OUT017
NCK54,1804.4971605622165,OUT046
FDG17,1966.8955471256659,OUT019
FDG35,2883.7181900134237,OUT017
FDD08,-1134.576572534742,OUT010
NCO07,3381.11935480267,OUT017
FDJ10,409.07438167931605,OUT010
FDW36,1811.7912010783193,OUT017
FDW21,-104.46172867601399,OUT010
FDY19,2023.8981623947702,OUT017
DRE03,889.3223243086383,OUT013
NCC55,786.1303113732882,OUT049
FDH52,-728.1369806091941,OUT010
FDO09,4203.267619634895,OUT017
FDU43,3686.9487312052206,OUT045
FDX09,883.5188100450064,OUT010
FDH40,-431.8870969131019,OUT019
FDW58,1823.7420261733268,OUT017
FDC47,3624.105850522046,OUT017
NCR41,1674.3492540532357,OUT035
DRG49,3913.447603866278,OUT035
FDC52,3894.6038049572057,OUT027
FDY13,1276.9689188702796,OUT046
FDY35,915.828506056928,OUT013
FDI35,2960.6368349259706,OUT017
NCU18,2342.6309631222507,OUT049
FDY33,2273.2012978670014,OUT018
FDC15,3895.3123898934887,OUT027
FDU01,3082.50972815646,OUT049
NCU42,2650.1568886481627,OUT046
NCV29,2512.7320213118333,OUT018
NCY30,2959.9824709975323,OUT017
FDQ46,1913.0945804426644,OUT049
FDG58,3895.0606737330477,OUT027
FDK33,3446.5487531721215,OUT017
NCD07,1756.6520651494654,OUT045
NCX29,3699.261649927386,OUT027
NCT42,2382.283708216126,OUT013
DRN59,948.0167681826264,OUT035
FDI44,1465.3501433905144,OUT035
FDA45,2867.5663693608913,OUT049
FDP31,1088.4448376179603,OUT045
FDY01,1874.201553692242,OUT046
FDT09,1921.9124976175203,OUT018
DRH03,2974.0502070128,OUT027
FDA36,2682.4973303911734,OUT018
NCF31,2514.3089967550286,OUT017
FDG14,2548.190458518065,OUT049
FDG28,5255.859874286134,OUT027
FDU14,3974.302850045398,OUT049
FDY47,277.6410696736906,OUT019
FDI56,1604.5953567263794,OUT049
DRD01,1058.2901272256595,OUT013
FDM22,1015.6800257938489,OUT046
FDH33,806.1190529789485,OUT013
DRZ24,1906.8063733416116,OUT013
NCQ38,1707.0368517346744,OUT046
FDO16,2848.9516869690947,OUT027
FDU07,3804.067224551219,OUT027
NCB07,3053.2156327513007,OUT013
FDU48,2070.677503858482,OUT045
NCM43,2539.1369107319297,OUT045
FDR31,477.44426877699425,OUT010
DRK49,485.86409650239045,OUT018
NCI30,1891.2851961255442,OUT010
DRD60,2935.47351445511,OUT017
NCG19,3591.5948980923995,OUT046
FDH12,1864.0621203508297,OUT035
FDM32,1664.4357517254264,OUT035
FDM27,2628.218778798601,OUT035
NCU53,4016.95636285761,OUT027
NCQ18,1583.4188645225056,OUT046
FDS10,2857.058396272112,OUT013
FDB33,3943.71205963453,OUT027
FDI12,1500.6283829248775,OUT013
NCW42,3454.6539365411886,OUT013
NCC06,1793.7615499003127,OUT018
